image_class,image_paths
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\3312_53БОвверх.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\612_42Торец.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\16466_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\19021_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\14453_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\4362_БОпритертый.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\15399_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\11967_BH.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\180_53БОвверх.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\12575_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\8245_42БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\8241_БОпритертый.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\6803_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\7483_BH_4.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\7877_42БО.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\190_Compare.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\9703_42БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\6036_BH_3.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\7381_53БОвверх.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\5796_42БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\3996_42Торец.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\17879_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\572_Compare.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\2681_42БО.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\5211_53БОвверх.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\4131_БОпритертый.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\17209_BH.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\3600_53БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\487_BH_5.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\6934_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\2690_42БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\5804_42БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\9617_BH_4.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\60_BH_5.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\333_53БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\13813_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\9523_BH.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\2109_53БОвверх.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\7042_БОпритертый.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\2873_БОпритертый.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\7787_42БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\870_BH.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\9460_53БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\7945_БОпритертый.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\9433_53БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\4599_42БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\5041_42Торец.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\2712_BH_5.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\9835_БОпритертый.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\7837_БОпритертый.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\9325_42БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\14615_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\14978_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\16137_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\17044_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\274_BH_3.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\9417_БОпритертый.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\2590_БОпритертый.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\9420_БОпритертый.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\8692_БОпритертый.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\1843_53БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\7865_BH_5.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\9809_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\882_БОпритертый.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\5515_BH_4.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\7674_BH.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\5098_53БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\11781_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\433_42Торец.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\424_Compare.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\316_БОпритертый.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\4705_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\2107_БОпритертый.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\5103_53БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\663_БОпритертый.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\5667_БОпритертый.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\7507_42БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\6274_BH_5.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\897_53БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\1373_БОпритертый.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\4164_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\5046_БОпритертый.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\1319_БОпритертый.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\163_БОпритертый.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\5249_42Торец.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\8001_42БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\9434_BH_5.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\6817_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\1514_BH_4.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\3281_BH_4.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\3466_53БОвверх.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\702_53БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\1556_42Торец.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\13983_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\9560_BH_3.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\5702_BH_3.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\9196_БОпритертый.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\3123_42БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\9070_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\3081_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\13112_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\5190_БОпритертый.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\3736_BH.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\1846_53БОвверх.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\7596_BH_4.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\19672_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\3435_БОпритертый.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\7279_БОпритертый.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\9668_42БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\9368_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\3086_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\6315_БОпритертый.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\4762_BH_4.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\203_БОпритертый.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\3040_53БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\14862_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\1521_BH_5.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\4740_42Торец.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\7424_БОпритертый.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\11349_BH.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\3376_53БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\6045_БОпритертый.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\451_42Торец.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\9901_42БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\8368_BH_3.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\719_42БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\1894_42Торец.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\15836_BH.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\5095_53БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\6748_BH_3.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\4898_BH_3.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\1973_42Торец.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\8119_53БОвверх.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\1718_42БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\1692_42Торец.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\13142_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\8548_БОпритертый.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\2090_BH.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\6563_53БОвверх.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\6923_BH_4.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\2890_53БОвверх.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\4302_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\4134_BH_4.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\1628_BH_3.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\13176_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\4878_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\5679_42БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\5731_42Торец.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\7315_42БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\4977_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\4746_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\5336_42БО.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\5403_53БОвверх.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\6900_BH_3.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\2507_53БОвверх.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\9055_42БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\3149_42БО.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\5194_53БО.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\7022_53БОвверх.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\3345_42БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\1748_42БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\11614_BH.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\2674_53БОвверх.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\13763_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\7200_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\532_42Торец.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\2147_БОпритертый.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\1435_БОпритертый.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\667_42БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\3759_BH_3.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\2378_БОпритертый.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\10692_BH.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\5176_53БО.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\4234_53БОвверх.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\9199_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\7462_BH_4.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\1090_42Торец.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\15515_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\12180_BH.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\6463_53БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\7585_БОпритертый.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\810_53БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\16487_BH.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\3259_53БО.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\2881_53БОвверх.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\4220_БОпритертый.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\852_BH.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\1936_53БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\4030_42БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\8006_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\9295_БОпритертый.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\7221_53БОвверх.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\200_53БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\2831_БОпритертый.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\1142_53БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\6247_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\7266_БОпритертый.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\7219_53БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\7950_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\3763_БОпритертый.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\9343_53БОвверх.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\3825_BH_3.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\2340_53БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\442_БОпритертый.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\145_Compare.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\6950_BH_5.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\6877_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\4382_BH_5.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\8639_42БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\1583_42БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\6904_42БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\5672_42Торец.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\2018_42БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\7560_BH_4.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\5304_БОпритертый.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\72_53БО.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\6643_53БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\2759_BH_3.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\9064_53БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\7020_БОпритертый.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\32_БОпритертый.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\7138_BH_3.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\8028_BH_3.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\4582_42БО.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\7521_53БОвверх.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\6129_42БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\9539_BH_4.tiff
